Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.15,-.27,-.04,-.36,-.11,-.01,-.81,-.49,-.25,-.13,-.08,-.04,.05,.68
1881,-.08,-.17,.01,-.35,.12,-.07,-.94,-.49,-.18,.12,.13,-.05,-.07,.60
1882,-.10,-.20,.00,-.30,-.03,.01,-1.42,-.29,-.12,-.03,-.03,.01,.04,.63
1883,-.16,-.27,-.06,-.33,-.15,-.01,-.18,-.57,-.22,-.16,-.13,-.04,.07,.50
1884,-.27,-.42,-.14,-.60,-.13,-.14,-1.31,-.65,-.44,-.12,-.14,-.19,-.02,.65
1885,-.33,-.43,-.23,-.65,-.12,-.27,-1.51,-.70,-.45,-.06,-.18,-.33,-.15,.82
1886,-.31,-.43,-.19,-.56,-.18,-.21,-1.59,-.52,-.38,-.20,-.16,-.20,-.20,.59
1887,-.36,-.44,-.28,-.53,-.28,-.28,-1.77,-.53,-.29,-.28,-.28,-.27,-.26,.32
1888,-.17,-.23,-.11,-.42,.11,-.29,-1.30,-.44,-.24,.07,.14,-.31,-.23,.16
1889,-.10,-.17,-.03,-.29,.09,-.16,-.68,-.23,-.27,.02,.16,-.15,-.15,.45
1890,-.35,-.38,-.32,-.46,-.36,-.22,-1.14,-.57,-.26,-.26,-.46,-.18,-.27,.15
1891,-.22,-.25,-.19,-.42,-.06,-.22,-1.12,-.34,-.35,.02,-.15,-.18,-.24,-.15
1892,-.27,-.39,-.15,-.43,-.28,-.08,-1.14,-.66,-.17,-.31,-.25,.02,-.21,.09
1893,-.31,-.46,-.15,-.50,-.36,-.05,-.61,-.54,-.47,-.41,-.30,.07,-.20,-.04
1894,-.31,-.38,-.23,-.32,-.36,-.24,-.90,-.32,-.18,-.48,-.22,-.15,-.35,-.37
1895,-.23,-.30,-.16,-.40,-.08,-.26,-.66,-.53,-.27,-.14,-.02,-.20,-.32,-.58
1896,-.10,-.18,-.02,-.35,.12,-.15,-.84,-.38,-.22,.08,.16,-.15,-.13,.26
1897,-.10,-.15,-.04,-.35,.19,-.24,-.52,-.47,-.24,.15,.23,-.19,-.27,.41
1898,-.27,-.28,-.25,-.36,-.21,-.26,-1.15,-.26,-.24,-.17,-.24,-.28,-.21,.38
1899,-.17,-.20,-.14,-.24,-.11,-.19,-1.01,-.11,-.14,-.14,-.07,-.15,-.22,.59
1900,-.07,-.08,-.06,-.20,.19,-.30,-.53,-.17,-.15,.11,.28,-.29,-.29,.27
1901,-.15,-.13,-.18,-.17,-.03,-.30,-.36,-.13,-.15,-.06,-.01,-.27,-.34,.26
1902,-.28,-.33,-.22,-.54,-.03,-.35,-1.51,-.52,-.32,-.02,-.04,-.28,-.43,-.04
1903,-.37,-.38,-.36,-.47,-.27,-.38,-.22,-.44,-.56,-.23,-.32,-.35,-.40,-.49
1904,-.46,-.48,-.45,-.52,-.44,-.44,-.21,-.61,-.55,-.43,-.46,-.37,-.49,-1.32
1905,-.25,-.28,-.21,-.41,-.06,-.36,-.03,-.25,-.62,-.10,-.02,-.33,-.37,-.34
1906,-.22,-.24,-.19,-.26,-.17,-.23,-.26,-.08,-.39,-.20,-.14,-.20,-.22,-.72
1907,-.38,-.47,-.28,-.59,-.29,-.29,-.55,-.74,-.52,-.31,-.27,-.20,-.37,-1.20
1908,-.42,-.45,-.38,-.48,-.42,-.35,-.21,-.56,-.51,-.41,-.42,-.28,-.48,.67
1909,-.48,-.49,-.46,-.53,-.46,-.44,-.72,-.63,-.44,-.44,-.48,-.37,-.52,-.57
1910,-.43,-.44,-.41,-.42,-.47,-.38,-.59,-.25,-.50,-.47,-.46,-.33,-.45,.16
1911,-.44,-.42,-.45,-.42,-.42,-.48,-.26,-.43,-.47,-.42,-.41,-.43,-.52,.05
1912,-.36,-.47,-.24,-.60,-.18,-.36,-.49,-.80,-.50,-.28,-.08,-.36,-.29,-1.64
1913,-.34,-.42,-.25,-.44,-.25,-.35,-.47,-.34,-.51,-.39,-.11,-.28,-.40,-1.04
1914,-.15,-.19,-.09,-.25,-.05,-.18,-.33,-.16,-.29,-.11,.02,-.15,-.18,-.37
1915,-.13,-.14,-.12,-.23,.01,-.22,-.56,-.17,-.19,.00,.01,-.15,-.23,-1.99
1916,-.35,-.42,-.30,-.37,-.43,-.23,-.47,-.55,-.24,-.49,-.38,-.23,-.17,-1.05
1917,-.45,-.57,-.35,-.50,-.62,-.19,-.78,-.50,-.43,-.68,-.56,-.23,-.09,.06
1918,-.29,-.40,-.19,-.41,-.32,-.14,-.99,-.28,-.35,-.38,-.25,-.06,-.23,-.28
1919,-.27,-.35,-.19,-.44,-.19,-.22,-.68,-.56,-.30,-.23,-.14,-.14,-.32,.19
1920,-.27,-.30,-.23,-.25,-.24,-.32,-.01,-.21,-.35,-.38,-.10,-.19,-.48,-1.15
1921,-.18,-.11,-.25,.01,-.24,-.31,.00,.17,-.09,-.29,-.18,-.23,-.38,-.84
1922,-.28,-.27,-.29,-.24,-.31,-.27,-.27,-.41,-.14,-.32,-.30,-.24,-.28,-.28
1923,-.26,-.22,-.30,-.15,-.29,-.34,.20,-.15,-.26,-.32,-.26,-.26,-.41,-.55
1924,-.27,-.18,-.35,-.12,-.25,-.43,.54,-.25,-.23,-.27,-.24,-.39,-.45,-.53
1925,-.22,-.14,-.29,-.04,-.23,-.37,-.05,.17,-.19,-.28,-.19,-.24,-.55,-.86
1926,-.11,.01,-.21,.02,.02,-.40,.57,.15,-.23,.00,.03,-.35,-.45,-.64
1927,-.22,-.13,-.29,-.13,-.15,-.38,.03,-.22,-.13,-.14,-.17,-.30,-.45,-1.38
1928,-.20,-.10,-.29,-.08,-.15,-.39,.66,-.17,-.23,-.14,-.15,-.28,-.48,-2.13
1929,-.36,-.34,-.38,-.38,-.28,-.45,.12,-.62,-.38,-.28,-.28,-.43,-.44,-1.08
1930,-.15,-.02,-.28,.04,-.10,-.42,.50,.04,-.11,-.09,-.10,-.33,-.46,-2.60
1931,-.09,.05,-.21,.01,.09,-.42,.57,-.04,-.14,.10,.07,-.42,-.40,-.42
1932,-.16,-.06,-.25,.03,-.15,-.34,.46,.19,-.21,-.18,-.12,-.20,-.53,-.99
1933,-.28,-.25,-.31,-.24,-.27,-.34,-.15,-.47,-.13,-.28,-.26,-.21,-.48,-1.15
1934,-.12,.00,-.24,.17,-.24,-.25,.89,.31,-.13,-.25,-.23,-.15,-.38,-.57
1935,-.20,-.09,-.29,-.05,-.17,-.37,.33,-.05,-.16,-.16,-.19,-.30,-.41,-1.72
1936,-.14,-.03,-.25,-.02,-.12,-.29,.41,.11,-.26,-.04,-.19,-.26,-.32,-.04
1937,-.02,.12,-.17,.20,-.04,-.22,1.23,.03,-.03,.01,-.10,-.18,-.25,.36
1938,.00,.16,-.18,.39,-.22,-.09,1.52,.39,.03,-.17,-.27,-.05,-.11,-.87
1939,-.01,.09,-.12,.22,-.11,-.12,.56,.29,.08,-.11,-.11,-.04,-.18,-1.61
1940,.13,.17,.10,.11,.28,-.06,.99,-.02,-.10,.26,.30,.03,-.20,-.06
1941,.19,.23,.17,.01,.49,-.05,.02,-.09,.08,.54,.45,.04,-.15,-.47
1942,.07,.12,.01,.13,.08,-.01,.73,-.06,.06,.11,.04,.06,-.05,-.90
1943,.09,.18,-.01,.37,-.08,.04,1.43,.28,.10,-.11,-.06,.07,.00,1.13
1944,.21,.27,.15,.38,.19,.05,1.18,.47,.09,.11,.28,.19,-.09,-.96
1945,.10,.11,.09,.11,.18,-.03,.65,-.02,.04,.10,.25,.04,.00,-1.79
1946,-.07,.03,-.16,.06,-.04,-.24,-.03,-.05,.16,-.02,-.06,-.22,-.24,-.19
1947,-.02,.08,-.13,.16,-.05,-.16,1.07,-.13,.04,-.03,-.08,-.19,-.08,-.23
1948,-.10,-.01,-.19,.13,-.18,-.24,.12,.32,.01,-.22,-.13,-.19,-.19,-1.39
1949,-.11,-.03,-.19,.11,-.18,-.23,.20,.17,.05,-.23,-.14,-.17,-.15,-1.99
1950,-.17,-.15,-.20,-.05,-.29,-.14,.18,-.30,.04,-.30,-.27,-.06,-.16,-.87
1951,-.07,.05,-.18,.08,-.06,-.23,.08,.01,.12,.00,-.12,-.22,-.16,-.70
1952,.01,.06,-.03,.11,.02,-.09,.27,-.09,.19,-.01,.05,-.10,-.02,-.52
